mission_id,agent_id,site_id,mission_date,parcel_status,validation_delay_days
M0147,AG012,S09,2024-01-29,Pending,9.6
M0148,AG006,S10,2025-04-21,Rejected,
M0149,AG004,S02,2024-11-13,Validated,4.5
M0150,AG011,S01,2024-09-01,Validated,11.1
M0151,AG017,S10,2024-09-28,Validated,1.0
M0152,AG006,S11,2025-03-15,Rejected,0.4
M0153,AG005,S09,2024-08-26,,1.4
M0154,AG020,S10,2025-01-11,Validated,7.9
M0155,AG002,S09,2024-09-22,Pending,0.2
M0156,AG006,S09,2024-12-24,Validated,4.4
M0157,AG022,S06,2024-12-05,Pending,26.9
M0158,AG011,S08,2025-01-23,Validated,9.7
M0159,AG016,S11,2024-01-03,Pending,3.7
M0160,AG016,S01,2025-03-04,Validated,0.3
M0161,AG001,S10,2024-05-21,Pending,8.9
M0162,AG009,S04,2025-01-10,Pending,4.6
M0163,AG006,S01,2024-11-19,Pending,0.6
M0164,AG016,S08,2024-05-25,Validated,0.5
M0165,AG003,S01,2024-10-19,Validated,12.0
M0166,AG020,S03,2025-03-07,Validated,
M0167,AG004,S04,2025-02-02,Validated,8.8
M0168,AG019,S08,2024-12-09,Validated,10.6
M0169,AG003,S06,2024-05-19,Rejected,4.2
M0170,AG019,S10,2024-07-05,Validated,3.6
M0171,AG020,S07,2024-03-01,Validated,2.8
M0172,AG007,S08,2025-01-14,Validated,1.9
M0173,AG020,S02,2025-03-15,Validated,2.9
M0174,AG009,S10,2024-11-14,Pending,7.4
M0175,AG001,S11,2024-10-28,Validated,4.6
M0176,AG008,S08,2024-12-09,Rejected,11.2
M0177,AG007,S03,2024-01-11,,2.9
M0178,AG018,S07,2024-03-02,Rejected,4.7
M0179,AG008,S03,2024-08-13,Rejected,5.0
M0180,AG001,S07,2024-06-01,Validated,4.5
M0181,AG011,S11,2024-11-05,Rejected,6.1
M0182,AG018,S02,2024-08-30,Validated,1.4
M0183,AG010,S10,2025-05-07,Pending,3.6
M0184,AG003,S06,2024-12-31,Validated,0.6
M0185,AG007,S03,2024-11-25,Rejected,2.4
M0186,AG016,S03,2024-04-16,Rejected,3.3
M0187,AG016,S09,2024-08-13,Pending,5.3
M0188,AG020,S07,2024-08-05,Pending,15.0
M0189,AG017,S05,2025-05-20,Validated,4.6
M0190,AG002,S10,2024-09-15,Validated,6.8
M0191,AG001,S07,2025-05-31,Validated,3.5
M0192,AG016,S09,2024-02-23,Validated,5.0
M0193,AG012,S01,2024-02-16,Pending,0.4
M0194,AG005,S07,2025-06-04,Validated,1.5
M0195,AG005,S06,2024-04-08,Rejected,2.2
M0196,AG009,S10,2024-01-20,Pending,3.2
M0197,AG009,S09,2025-05-04,Pending,0.2
M0198,AG003,S01,2025-02-22,Validated,0.8
M0199,AG019,S04,2024-03-02,Rejected,1.6
M0200,AG016,S09,2024-05-24,Rejected,17.8
M0201,AG016,S04,2024-08-03,Validated,
M0202,AG003,S10,2024-01-03,Pending,
M0203,AG020,S03,2024-06-08,Pending,1.1
M0204,AG022,S09,2024-04-29,Validated,4.7
M0205,AG001,S02,2024-03-29,Validated,1.6
M0206,AG020,S04,2024-11-24,Validated,1.2
M0207,AG011,S06,2024-12-22,Validated,3.6
M0208,AG017,S02,2024-09-23,Validated,0.0
M0209,AG008,S08,2024-11-18,Validated,0.0
M0210,AG004,S08,2025-06-24,Validated,1.2
M0211,AG006,S01,2024-07-13,Validated,0.2
M0212,AG008,S03,2024-11-27,Rejected,0.6
M0213,AG020,S10,2024-06-18,Validated,2.1
M0214,AG003,S09,2025-06-04,Rejected,8.1
M0215,AG016,S05,2025-04-07,Validated,4.2
M0216,AG003,S06,2024-02-09,Validated,3.6
M0217,AG018,S04,2025-06-20,Validated,1.7
M0218,AG014,S10,2024-09-17,Validated,13.4
M0219,AG018,S02,2025-01-29,Validated,2.5
M0220,AG002,S11,2024-08-13,Pending,0.5
M0221,AG022,S08,2024-05-03,Validated,4.8
M0222,AG003,S11,2024-02-07,Pending,0.6
M0223,AG016,S06,2024-11-23,Pending,2.1
M0224,AG009,S05,2024-09-07,Validated,3.5
M0225,AG004,S09,2024-06-24,Validated,10.4
M0226,AG001,S01,2025-03-29,Pending,3.4
M0227,AG004,S05,2024-02-06,Validated,6.1
M0228,AG001,S06,2024-11-11,Validated,24.7
M0229,AG014,S05,2024-04-23,Rejected,0.7
M0230,AG021,S06,2024-02-09,Validated,1.6
M0231,AG016,S06,2024-10-27,Pending,2.5
M0232,AG020,S07,2024-08-11,Rejected,2.7
M0233,AG008,S04,2024-11-13,Validated,
M0234,AG007,S11,2024-12-14,Validated,11.9
M0235,AG003,S08,2024-04-24,Validated,6.3
M0236,AG017,S07,2024-11-18,Validated,4.7
M0237,AG001,S09,2024-02-09,Validated,1.9
M0238,AG016,S07,2024-02-09,Pending,8.7
M0239,AG012,S03,2024-10-15,Validated,15.5
M0240,AG019,S03,2024-09-18,Validated,8.6
M0241,AG022,S08,2024-08-03,Rejected,0.0
M0242,AG022,S05,2024-05-26,Pending,5.1
M0243,AG014,S04,2024-12-01,Pending,0.3
M0244,AG006,S08,2024-06-16,Validated,1.5
M0245,AG006,S06,2024-04-01,Pending,0.3
M0246,AG013,S02,2024-12-18,Validated,4.6
M0247,AG019,S04,2024-12-28,Validated,5.8
M0248,AG022,S11,2024-12-10,Validated,0.6
M0249,AG008,S04,2024-06-18,Rejected,2.4
M0250,AG002,S06,2024-12-21,Validated,3.0
M0251,AG021,S06,2024-07-09,Validated,2.3
M0252,AG001,S01,2025-02-25,Validated,0.6
M0253,AG015,S08,2024-01-07,Validated,2.7
M0254,AG001,S06,2024-05-12,Pending,7.0
M0255,AG005,S03,2024-01-31,Pending,0.4
M0256,AG016,S09,2025-06-18,Pending,0.4
M0257,AG019,S02,2025-03-01,Validated,2.2
M0258,AG004,S11,2025-01-28,Validated,14.2
M0259,AG003,S08,2024-12-28,Validated,5.5
M0260,AG017,S10,2025-03-12,Validated,5.7
M0261,AG017,S03,2024-03-22,Validated,2.2
M0262,AG012,S05,2024-12-21,Pending,4.5
M0263,AG014,S06,2024-09-14,Validated,0.1
M0264,AG021,S10,2025-06-07,Validated,5.1
M0265,AG006,S06,2024-10-21,Validated,12.2
M0266,AG003,S04,2024-08-11,Validated,4.7
M0267,AG009,S03,2025-06-08,Validated,10.3
M0268,AG005,S04,2024-02-15,Rejected,6.4
M0269,AG017,S01,2024-04-22,Pending,0.6
M0270,AG014,S04,2024-08-20,Rejected,11.6
M0271,AG021,S01,2024-01-17,Validated,0.3
M0272,AG003,S01,2024-12-25,Validated,3.8
M0273,AG001,S10,2024-08-10,Validated,0.8
M0274,AG020,S06,2025-03-23,Validated,0.1
M0275,AG021,S05,2024-12-30,Pending,2.7
M0276,AG001,S11,2024-11-21,Validated,1.7
M0277,AG003,S04,2025-04-11,Validated,3.3
M0278,AG018,S11,2025-02-17,Validated,4.3
M0279,AG010,S03,2025-03-30,Validated,0.2
M0280,AG022,S01,2024-08-20,Pending,0.7
M0281,AG003,S06,2024-08-11,Validated,4.1
M0282,AG008,S02,2025-02-15,Validated,2.1
M0283,AG014,S08,2024-11-30,Validated,6.5
M0284,AG018,S10,2024-08-09,Validated,5.3
M0285,AG015,S05,2024-02-06,Pending,9.3
M0286,AG022,S07,2024-10-04,Rejected,5.9
M0287,AG002,S10,2024-07-14,Rejected,2.8
M0288,AG010,S02,2025-04-28,Pending,5.6
M0289,AG002,S08,2024-08-29,Validated,1.6
M0290,AG017,S02,2024-11-19,Pending,1.8
M0291,AG008,S04,2024-07-10,Validated,7.8
M0292,AG001,S01,2024-01-17,Validated,3.0
M0293,AG009,S05,2025-06-07,Pending,8.0
M0294,AG011,S09,2025-02-04,Validated,8.6
M0295,AG022,S01,2024-01-22,Rejected,9.7
M0296,AG016,S09,2025-04-18,Validated,12.4
M0297,AG007,S11,2024-04-29,Pending,2.8
M0298,AG010,S08,2024-07-28,Pending,1.9
M0299,AG003,S06,2024-11-01,Rejected,4.4
M0300,AG018,S07,2024-09-26,Pending,2.3
M0301,AG013,S03,2024-10-11,Pending,4.6
M0302,AG007,S01,2024-08-14,Validated,6.1
M0303,AG004,S05,2025-01-15,Validated,5.8
M0304,AG013,S02,2025-04-04,Validated,2.3
M0305,AG020,S05,2024-01-07,Pending,0.9
M0306,AG001,S08,2024-01-29,Validated,2.8
M0307,AG008,S11,2024-02-02,Pending,0.8
M0308,AG014,S09,2024-03-19,Validated,11.0
M0309,AG016,S02,2025-04-03,Validated,2.1
M0310,AG014,S03,2025-06-21,Pending,0.8
M0311,AG012,S03,2025-04-26,Validated,0.1
M0312,AG019,S01,2025-03-05,,5.2
M0313,AG015,S08,2024-10-11,Validated,5.1
M0314,AG002,S06,2025-05-30,Rejected,2.1
M0315,AG002,S08,2024-04-08,Pending,0.4
M0316,AG022,S11,2025-01-31,Validated,2.6
M0317,AG019,S09,2025-05-03,Validated,1.9
M0318,AG022,S05,2024-02-08,,5.7
M0319,AG022,S03,2024-09-27,Pending,4.7
M0320,AG017,S05,2024-06-05,Pending,2.3
M0321,AG020,S05,2024-03-15,Validated,1.2
M0322,AG010,S05,2024-05-09,Validated,22.1
M0323,AG006,S03,2024-03-24,Validated,3.0
M0324,AG015,S11,2024-01-22,Pending,5.8
M0325,AG022,S10,2025-04-03,Pending,0.8
M0326,AG011,S04,2025-06-22,Validated,3.3
M0327,AG005,S09,2025-01-16,Validated,0.1
M0328,AG001,S10,2025-03-15,Validated,3.5
M0329,AG008,S09,2024-01-21,Rejected,16.6
M0330,AG021,S02,2024-10-29,Validated,
M0331,AG012,S08,2024-03-24,Pending,0.2
M0332,AG012,S08,2025-03-28,Pending,0.2
M0333,AG005,S07,2025-01-21,Validated,2.5
M0334,AG007,S08,2025-05-21,Validated,0.9
M0335,AG004,S03,2024-09-13,Validated,
M0336,AG006,S06,2025-06-10,Pending,7.1
M0337,AG013,S01,2024-06-10,Pending,3.1
M0338,AG020,S07,2024-06-11,Pending,1.7
M0339,AG015,S01,2025-06-07,Validated,11.5
M0340,AG003,S09,2024-09-27,Validated,0.6
M0341,AG008,S01,2025-05-06,Rejected,15.6
M0342,AG020,S01,2024-07-26,Pending,1.9
M0343,AG016,S07,2025-06-22,Validated,11.0
M0344,AG013,S02,2024-02-29,Rejected,4.6
M0345,AG018,S05,2025-03-05,Pending,8.8
M0346,AG010,S08,2024-11-04,Validated,20.7
M0347,AG019,S08,2025-06-03,Pending,1.7
M0348,AG017,S03,2024-01-27,Pending,16.2
M0349,AG019,S07,2024-07-17,Pending,2.5
M0350,AG005,S03,2025-01-21,Validated,2.4
M0351,AG021,S06,2024-12-14,Validated,2.1
M0352,AG009,S06,2025-06-19,Rejected,3.9
M0353,AG012,S03,2025-01-12,Validated,0.8
M0354,AG021,S07,2025-06-10,Validated,4.0
M0355,AG001,S03,2024-06-01,Validated,3.9
M0356,AG001,S08,2024-07-24,Validated,7.2
M0357,AG015,S10,2025-03-30,Pending,9.0
M0358,AG002,S04,2024-09-29,Rejected,2.9
M0359,AG022,S01,2024-08-23,Validated,1.8
M0360,AG016,S04,2025-06-04,Validated,1.5
M0361,AG008,S07,2025-05-15,Validated,1.1
M0362,AG013,S11,2024-04-26,Rejected,0.3
M0363,AG021,S04,2025-01-20,Pending,2.1
M0364,AG001,S06,2024-12-09,Validated,1.6
M0365,AG016,S09,2025-01-29,Pending,17.0
M0366,AG007,S01,2024-03-04,Rejected,4.1
M0367,AG005,S05,2024-03-12,Pending,2.1
M0368,AG022,S11,2024-09-30,Rejected,4.3
M0369,AG003,S07,2024-11-15,Validated,0.7
M0370,AG012,S01,2024-12-03,Pending,2.9
M0371,AG016,S04,2024-12-31,Validated,4.9
M0372,AG019,S06,2025-05-09,Pending,3.4
M0373,AG005,S02,2024-06-14,Pending,2.6
M0374,AG022,S10,2025-06-27,Pending,25.5
M0375,AG014,S05,2024-01-11,Pending,10.6
M0376,AG005,S11,2024-10-27,Validated,4.9
M0377,AG015,S10,2024-04-11,Validated,4.2
M0378,AG017,S01,2025-02-28,Rejected,4.8
M0379,AG014,S06,2025-01-26,Rejected,1.1
M0380,AG020,S06,2024-08-01,Validated,2.5
M0381,AG005,S04,2024-03-28,Validated,0.2
M0382,AG012,S08,2025-02-04,Validated,3.2
M0383,AG016,S04,2024-02-15,Pending,3.9
M0384,AG016,S08,2025-04-07,Pending,1.3
M0385,AG021,S08,2024-11-05,Validated,16.6
M0386,AG007,S05,2024-03-26,Validated,12.0
M0387,AG004,S04,2024-04-01,Pending,6.4
M0388,AG001,S02,2024-08-29,Pending,3.8
M0389,AG005,S11,2024-01-02,Validated,10.2
M0390,AG010,S03,2024-08-12,Validated,0.7
M0391,AG022,S03,2024-04-25,Validated,7.8
M0392,AG005,S04,2024-04-12,Validated,0.7
M0393,AG004,S04,2024-07-12,Validated,7.9
M0394,AG002,S10,2024-06-14,Pending,1.6
M0395,AG020,S11,2024-03-30,Rejected,10.5
M0396,AG010,S11,2024-05-01,Pending,14.4
M0397,AG019,S05,2024-05-22,Pending,0.8
M0398,AG001,S04,2024-04-15,Validated,3.1
M0399,AG005,S11,2025-03-03,Validated,19.8
M0400,AG013,S10,2024-10-31,Validated,3.3
M0401,AG004,S08,2024-11-12,Validated,10.0
M0402,AG016,S06,2024-01-09,Pending,4.4
M0403,AG016,S06,2024-03-13,Rejected,2.4
M0404,AG002,S08,2024-12-24,Validated,1.7
M0405,AG017,S07,2024-08-10,Validated,
M0406,AG020,S10,2025-02-19,Pending,7.2
M0407,AG012,S11,2025-01-04,Validated,2.4
M0408,AG018,S10,2024-09-20,Validated,3.6
M0409,AG003,S08,2024-11-13,Pending,3.4
M0410,AG001,S02,2024-03-24,Pending,4.3
M0411,AG001,S09,2024-11-13,Validated,10.0
M0412,AG019,S01,2024-04-20,Validated,19.7
M0413,AG011,S08,2024-09-07,Pending,2.6
M0414,AG005,S11,2025-01-17,Validated,8.8
M0415,AG012,S04,2024-01-07,Validated,7.2
M0416,AG003,S04,2025-04-03,Pending,
M0417,AG001,S05,2024-03-24,Validated,15.6
M0418,AG001,S08,2024-07-26,Pending,1.1
M0419,AG008,S05,2025-01-24,Validated,0.6
M0420,AG010,S08,2024-11-09,Rejected,9.6
M0421,AG011,S10,2024-01-22,Validated,2.9
M0422,AG012,S01,2025-02-13,Validated,9.4
M0423,AG013,S10,2025-05-29,Validated,11.2
M0424,AG012,S09,2024-05-06,Validated,0.3
M0425,AG014,S06,2024-01-14,Rejected,10.7
M0426,AG002,S03,2024-01-12,Rejected,3.0
M0427,AG019,S08,2024-03-27,Validated,3.6
M0428,AG018,S09,2025-06-07,Validated,4.9
M0429,AG003,S06,2025-06-20,Pending,13.0
M0430,AG017,S11,2024-10-27,Rejected,0.1
M0431,AG008,S07,2024-08-30,Validated,3.2
M0432,AG010,S01,2024-05-01,Validated,5.8
M0433,AG002,S05,2024-05-26,Validated,6.4
M0434,AG019,S05,2024-12-21,Pending,5.9
M0435,AG009,S10,2024-11-04,Validated,0.7
M0436,AG007,S04,2024-10-14,Pending,1.8
M0437,AG004,S06,2024-11-02,Validated,2.2
M0438,AG021,S07,2024-12-17,Pending,8.2
M0439,AG018,S09,2024-11-07,Validated,1.6
M0440,AG013,S01,2024-02-28,Validated,1.2
M0441,AG011,S06,2024-02-04,Validated,15.8
M0442,AG004,S07,2025-03-20,Pending,0.0
M0443,AG021,S03,2024-04-02,Validated,30.6
M0444,AG004,S08,2024-07-25,Validated,5.6
M0445,AG010,S05,2024-12-18,Validated,8.8
M0446,AG005,S09,2024-11-27,Validated,1.7
M0447,AG009,S05,2024-06-07,Pending,
M0448,AG003,S09,2024-01-24,Pending,6.7
M0449,AG017,S10,2025-02-07,Pending,9.0
M0450,AG003,S04,2025-05-30,,6.7
M0451,AG016,S09,2024-12-29,Pending,0.8
M0452,AG004,S05,2025-01-16,Validated,7.0
M0453,AG018,S10,2025-06-15,Validated,7.3
M0454,AG017,S09,2024-05-31,Validated,5.4
M0455,AG007,S03,2025-02-23,Validated,7.3
M0456,AG005,S04,2024-09-06,Pending,
M0457,AG012,S09,2024-04-26,Pending,4.8
M0458,AG017,S10,2025-05-26,Pending,0.5
M0459,AG013,S11,2024-11-30,Validated,3.3
M0460,AG003,S06,2025-02-21,Validated,0.4
M0461,AG009,S02,2024-10-21,Validated,2.6
M0462,AG017,S07,2025-01-05,Validated,2.6
M0463,AG017,S02,2024-07-04,Validated,0.3
M0464,AG020,S11,2024-09-02,Validated,2.1
M0465,AG016,S02,2024-09-24,Validated,0.6
M0466,AG022,S11,2024-08-24,Validated,8.3
M0467,AG013,S01,2025-06-13,Pending,14.8
M0468,AG019,S11,2024-01-21,Rejected,0.4
M0469,AG017,S11,2025-06-03,Rejected,15.5
M0470,AG004,S11,2024-04-09,Pending,3.7
M0471,AG012,S03,2025-04-22,Validated,1.8
M0472,AG009,S06,2024-10-24,Pending,0.4
M0473,AG019,S08,2025-06-09,Pending,3.5
M0474,AG012,S09,2024-11-29,Validated,
M0475,AG009,S07,2024-01-02,Validated,6.1
M0476,AG007,S04,2025-01-09,Pending,0.3
M0477,AG014,S06,2024-10-19,Validated,0.4
M0478,AG020,S05,2024-11-13,Validated,2.6
M0479,AG019,S08,2025-05-16,Validated,1.7
M0480,AG015,S01,2025-01-15,Validated,1.3
M0481,AG016,S01,2024-01-14,Validated,1.6
M0482,AG021,S11,2025-05-18,Validated,8.1
M0483,AG005,S06,2024-08-18,Validated,13.2
M0484,AG003,S10,2024-03-24,Validated,2.6
M0485,AG012,S02,2024-05-09,Pending,11.8
M0486,AG020,S05,2024-05-24,Validated,1.9
M0487,AG021,S01,2024-01-28,Validated,3.2
M0488,AG004,S07,2024-03-06,Validated,1.3
M0489,AG021,S01,2024-06-11,Rejected,5.1
M0490,AG016,S04,2024-08-16,Validated,19.3
M0491,AG007,S09,2024-09-17,Validated,4.6
M0492,AG013,S01,2025-03-24,Rejected,2.2
M0493,AG021,S04,2025-02-27,Pending,5.2
M0494,AG010,S06,2025-04-04,Validated,0.7
M0495,AG007,S06,2024-10-27,Pending,11.0
M0496,AG014,S08,2024-10-29,Validated,3.5
M0497,AG005,S01,2024-10-13,Validated,3.0
M0498,AG003,S07,2025-01-29,Validated,4.4
M0499,AG011,S01,2024-01-10,Validated,4.9
M0500,AG011,S07,2024-09-26,Pending,0.4
M0501,AG018,S03,2024-12-26,Validated,5.7
M0502,AG015,S11,2024-09-13,Validated,1.4
M0503,AG012,S08,2024-05-12,Pending,6.3
M0504,AG009,S03,2024-10-02,Pending,8.6
M0505,AG010,S01,2025-05-27,Validated,8.1
M0506,AG012,S08,2024-11-08,Pending,4.0
M0507,AG017,S03,2024-10-10,Validated,3.7
M0508,AG006,S02,2024-04-30,Pending,0.8
M0509,AG007,S01,2024-04-16,Pending,7.5
M0510,AG014,S03,2024-07-22,Rejected,
M0511,AG013,S02,2024-06-13,Validated,3.4
M0512,AG008,S02,2024-10-31,Validated,1.7
M0513,AG010,S06,2025-05-11,Validated,0.7
M0514,AG009,S01,2024-06-04,Validated,5.0
M0515,AG018,S02,2025-01-01,Validated,0.3
M0516,AG002,S06,2024-09-07,,6.9
M0517,AG005,S03,2024-11-29,Validated,1.9
M0518,AG005,S04,2025-05-25,Validated,0.0
M0519,AG006,S01,2024-10-19,Pending,3.6
M0520,AG019,S08,2024-01-20,Validated,0.2
M0521,AG008,S07,2024-10-08,Pending,1.6
M0522,AG016,S07,2024-01-01,Validated,6.1
M0523,AG013,S03,2024-04-28,Validated,0.3
M0524,AG001,S10,2024-02-04,Validated,9.1
M0525,AG022,S10,2024-07-16,Validated,0.0
M0526,AG020,S03,2025-04-29,Rejected,1.4
M0527,AG017,S02,2024-02-28,Validated,6.8
M0528,AG007,S01,2024-06-09,Validated,1.9
M0529,AG013,S07,2024-07-24,Validated,0.5
M0530,AG004,S07,2024-01-12,Validated,2.2
M0531,AG004,S02,2025-05-04,Rejected,1.6
M0532,AG006,S07,2024-10-02,Validated,
M0533,AG019,S08,2024-08-29,Pending,1.9
M0534,AG012,S01,2024-08-03,Rejected,7.8
M0535,AG022,S09,2024-09-07,Validated,11.1
M0536,AG007,S07,2024-05-05,Rejected,2.8
